全国 感染患者46人 疑似患者22人 治愈2人 死亡1人
安徽 感染患者1人 疑似患者0人 治愈0人 死亡0人
北京 感染患者1人 疑似患者0人 治愈0人 死亡0人
重庆 感染患者1人 疑似患者0人 治愈0人 死亡0人
福建 感染患者6人 疑似患者7人 治愈0人 死亡0人
甘肃 感染患者1人 疑似患者0人 治愈0人 死亡0人
广东 感染患者1人 疑似患者0人 治愈0人 死亡0人
广西 感染患者1人 疑似患者0人 治愈0人 死亡0人
贵州 感染患者1人 疑似患者0人 治愈0人 死亡0人
海南 感染患者1人 疑似患者0人 治愈0人 死亡0人
河北 感染患者1人 疑似患者0人 治愈0人 死亡0人
河南 感染患者1人 疑似患者0人 治愈0人 死亡0人
黑龙江 感染患者1人 疑似患者0人 治愈0人 死亡0人
湖北 感染患者11人 疑似患者15人 治愈2人 死亡1人
湖南 感染患者1人 疑似患者0人 治愈0人 死亡0人
吉林 感染患者1人 疑似患者0人 治愈0人 死亡0人
江苏 感染患者1人 疑似患者0人 治愈0人 死亡0人
江西 感染患者1人 疑似患者0人 治愈0人 死亡0人
辽宁 感染患者1人 疑似患者0人 治愈0人 死亡0人
内蒙古 感染患者1人 疑似患者0人 治愈0人 死亡0人
宁夏 感染患者1人 疑似患者0人 治愈0人 死亡0人
青海 感染患者1人 疑似患者0人 治愈0人 死亡0人
山东 感染患者1人 疑似患者0人 治愈0人 死亡0人
山西 感染患者1人 疑似患者0人 治愈0人 死亡0人
陕西 感染患者1人 疑似患者0人 治愈0人 死亡0人
上海 感染患者1人 疑似患者0人 治愈0人 死亡0人
四川 感染患者1人 疑似患者0人 治愈0人 死亡0人
天津 感染患者1人 疑似患者0人 治愈0人 死亡0人
西藏 感染患者1人 疑似患者0人 治愈0人 死亡0人
新疆 感染患者1人 疑似患者0人 治愈0人 死亡0人
云南 感染患者1人 疑似患者0人 治愈0人 死亡0人
浙江 感染患者1人 疑似患者0人 治愈0人 死亡0人
// 该文档并非真实数据，仅供测试使用
